,TRAV1-1*01,TRAV1-1*02,TRAV1-2*01,TRAV1-2*02,TRAV10*01,TRAV11*01,TRAV12-1*01,TRAV12-1*02,TRAV12-2*01,TRAV12-2*02,TRAV12-2*03,TRAV12-3*01,TRAV12-3*02,TRAV13-1*01,TRAV13-1*02,TRAV13-1*03,TRAV13-2*01,TRAV13-2*02,TRAV14/DV4*01,TRAV14/DV4*02,TRAV14/DV4*03,TRAV14/DV4*04,TRAV16*01,TRAV17*01,TRAV18*01,TRAV19*01,TRAV2*01,TRAV2*02,TRAV20*01,TRAV20*02,TRAV20*03,TRAV20*04,TRAV21*01,TRAV21*02,TRAV22*01,TRAV23/DV6*01,TRAV23/DV6*02,TRAV23/DV6*03,TRAV23/DV6*04,TRAV24*01,TRAV24*02,TRAV25*01,TRAV26-1*01,TRAV26-1*02,TRAV26-1*03,TRAV26-2*01,TRAV26-2*02,TRAV27*01,TRAV27*02,TRAV27*03,TRAV29/DV5*01,TRAV29/DV5*02,TRAV3*01,TRAV30*01,TRAV30*02,TRAV30*03,TRAV30*04,TRAV34*01,TRAV35*01,TRAV35*02,TRAV36/DV7*01,TRAV36/DV7*02,TRAV36/DV7*03,TRAV36/DV7*04,TRAV38-1*01,TRAV38-1*02,TRAV38-1*03,TRAV38-1*04,TRAV38-2/DV8*01,TRAV39*01,TRAV4*01,TRAV40*01,TRAV41*01,TRAV5*01,TRAV6*01,TRAV6*02,TRAV6*03,TRAV6*04,TRAV6*05,TRAV6*06,TRAV7*01,TRAV8-1*01,TRAV8-1*02,TRAV8-2*01,TRAV8-2*02,TRAV8-3*01,TRAV8-3*02,TRAV8-3*03,TRAV8-4*01,TRAV8-4*02,TRAV8-4*03,TRAV8-4*04,TRAV8-4*05,TRAV8-4*06,TRAV8-4*07,TRAV8-6*01,TRAV8-6*02,TRAV8-7*01,TRAV9-1*01,TRAV9-2*01,TRAV9-2*02,TRAV9-2*03,TRAV9-2*04
TRAV1-1*01,0,4,16,8,62,63,54,54,55,55,59,50,50,58,58,58,62,62,53,51,53,51,49,54,50,52,43,43,49,49,49,49,58,58,49,60,60,60,60,48,48,61,63,63,63,63,63,65,65,65,54,54,54,62,62,62,62,59,62,62,63,60,60,60,57,57,57,57,57,62,68,47,54,57,69,69,69,69,69,68,53,61,61,57,57,59,59,59,57,57,57,57,57,62,54,58,58,53,60,57,57,57,57
TRAV1-1*02,4,0,16,8,62,63,54,54,55,55,59,50,50,58,58,58,62,62,49,47,49,47,49,54,51,52,44,44,49,49,49,49,58,58,49,60,60,60,60,48,48,61,63,63,63,63,63,65,65,65,55,55,54,62,62,62,62,59,62,62,63,60,60,60,57,57,57,57,57,62,68,47,55,57,69,69,69,69,69,68,53,61,61,57,57,59,59,59,57,57,57,57,57,62,54,58,58,53,60,57,57,57,57
TRAV1-2*01,16,16,0,0,61,62,54,54,55,55,59,50,50,54,54,54,61,61,55,53,55,53,48,46,59,60,48,48,49,49,49,49,58,58,46,59,59,59,59,49,49,52,60,60,60,59,59,58,58,58,54,54,51,61,61,61,61,59,56,56,64,61,61,61,61,61,61,61,61,60,65,47,55,61,69,69,69,69,69,69,50,57,57,59,59,62,62,62,59,59,59,59,59,64,56,57,57,54,60,58,58,58,58
TRAV1-2*02,8,8,0,0,37,48,40,40,39,39,43,36,36,36,36,36,43,43,36,34,36,34,28,30,41,42,36,36,36,36,36,36,44,44,28,42,42,42,42,35,35,33,39,39,39,38,38,37,37,37,39,39,35,42,42,42,42,39,35,35,43,43,43,43,40,40,40,40,40,36,43,31,35,42,46,46,46,46,46,46,36,43,43,42,42,47,47,47,42,42,42,42,42,47,39,41,41,37,38,36,36,36,36
TRAV10*01,62,62,61,37,0,63,63,63,67,67,67,55,55,64,64,64,64,64,66,64,66,64,58,49,66,68,41,41,51,51,51,51,55,55,44,60,60,60,60,57,57,53,56,56,56,59,59,62,62,62,59,59,67,62,62,61,62,60,64,64,52,55,52,52,66,66,66,66,66,62,56,44,48,63,57,57,57,57,57,61,46,72,72,66,66,76,76,76,67,67,68,67,67,71,60,71,71,71,63,57,57,57,57
TRAV11*01,63,63,62,48,63,0,58,58,47,47,47,60,60,54,54,54,59,59,58,60,58,60,59,46,63,58,39,39,48,48,48,48,35,35,45,63,63,63,63,61,61,52,62,62,62,61,61,60,60,60,60,60,70,56,56,56,56,51,62,62,55,52,52,52,61,61,61,61,61,63,63,52,52,57,59,59,59,59,59,59,50,56,56,65,65,69,69,69,66,66,70,66,66,66,62,67,67,67,65,65,65,65,65
TRAV12-1*01,54,54,54,40,63,58,0,0,20,20,20,23,23,38,38,38,40,40,49,49,49,49,50,53,59,59,46,46,47,47,47,47,47,47,42,51,51,51,51,57,57,60,59,59,59,60,60,53,53,53,46,46,58,54,54,57,54,61,60,60,58,55,55,55,54,55,54,54,55,58,54,52,47,43,62,62,62,62,62,63,48,60,60,51,51,54,54,54,59,59,62,59,59,64,59,51,51,59,63,64,64,64,64
TRAV12-1*02,54,54,54,40,63,58,0,0,20,20,20,23,23,38,38,38,40,40,49,49,49,49,50,53,59,59,46,46,47,47,47,47,47,47,42,51,51,51,51,57,57,60,59,59,59,60,60,53,53,53,46,46,58,54,54,57,54,61,60,60,58,55,55,55,54,55,54,54,55,58,54,52,47,43,62,62,62,62,62,63,48,60,60,51,51,54,54,54,59,59,62,59,59,64,59,51,51,59,63,64,64,64,64
TRAV12-2*01,55,55,55,39,67,47,20,20,0,0,4,38,38,38,38,38,48,48,54,54,54,54,48,54,57,56,52,52,42,42,42,42,47,47,42,54,54,54,54,60,60,59,62,62,62,63,63,55,55,55,50,50,53,53,53,56,53,58,60,60,54,51,51,51,59,60,59,59,60,59,61,48,46,42,63,63,63,63,63,64,48,54,54,55,55,61,61,61,63,63,66,63,63,63,58,55,55,58,59,58,58,58,58
TRAV12-2*02,55,55,55,39,67,47,20,20,0,0,4,38,38,38,38,38,48,48,54,54,54,54,48,54,57,56,52,52,42,42,42,42,47,47,42,54,54,54,54,60,60,59,62,62,62,63,63,55,55,55,50,50,53,53,53,56,53,58,60,60,54,51,51,51,59,60,59,59,60,59,61,48,46,42,63,63,63,63,63,64,48,54,54,55,55,61,61,61,63,63,66,63,63,63,58,55,55,58,59,58,58,58,58
TRAV12-2*03,59,59,59,43,67,47,20,20,4,4,0,38,38,38,38,38,48,48,54,54,54,54,52,51,57,56,52,52,46,46,46,46,47,47,38,54,54,54,54,60,60,58,62,62,62,63,63,55,55,55,49,49,57,52,52,55,52,57,60,60,54,51,51,51,59,60,59,59,60,59,61,52,43,42,63,63,63,63,63,64,48,58,58,55,55,61,61,61,59,59,62,59,59,63,58,51,51,62,59,62,62,62,62
TRAV12-3*01,50,50,50,36,55,60,23,23,38,38,38,0,0,38,38,38,40,40,51,51,51,51,55,48,54,51,48,48,43,43,43,43,43,43,44,41,41,41,41,58,58,61,52,52,52,53,53,61,61,61,36,36,53,64,64,63,64,61,58,58,54,51,51,51,49,49,49,49,49,55,48,47,49,44,54,54,54,54,54,58,44,57,57,54,54,50,50,50,50,50,53,50,50,59,50,49,49,58,62,63,63,63,63
TRAV12-3*02,50,50,50,36,55,60,23,23,38,38,38,0,0,38,38,38,40,40,51,51,51,51,55,48,54,51,48,48,43,43,43,43,43,43,44,41,41,41,41,58,58,61,52,52,52,53,53,61,61,61,36,36,53,64,64,63,64,61,58,58,54,51,51,51,49,49,49,49,49,55,48,47,49,44,54,54,54,54,54,58,44,57,57,54,54,50,50,50,50,50,53,50,50,59,50,49,49,58,62,63,63,63,63
TRAV13-1*01,58,58,54,36,64,54,38,38,38,38,38,38,38,0,0,0,20,20,56,56,56,56,48,38,52,62,49,49,46,46,46,46,43,43,32,31,31,31,31,57,57,61,57,57,57,55,55,63,63,63,36,36,57,61,61,60,61,61,58,58,59,59,59,59,54,55,54,54,55,52,52,46,40,30,45,45,45,45,45,49,47,66,66,59,59,60,60,60,59,59,62,59,59,67,58,51,51,66,70,70,70,70,70
TRAV13-1*02,58,58,54,36,64,54,38,38,38,38,38,38,38,0,0,0,20,20,56,56,56,56,48,38,52,62,49,49,46,46,46,46,43,43,32,31,31,31,31,57,57,61,57,57,57,55,55,63,63,63,36,36,57,61,61,60,61,61,58,58,59,59,59,59,54,55,54,54,55,52,52,46,40,30,45,45,45,45,45,49,47,66,66,59,59,60,60,60,59,59,62,59,59,67,58,51,51,66,70,70,70,70,70
TRAV13-1*03,58,58,54,36,64,54,38,38,38,38,38,38,38,0,0,0,20,20,56,56,56,56,48,38,52,62,49,49,46,46,46,46,43,43,32,31,31,31,31,57,57,61,57,57,57,55,55,63,63,63,36,36,57,61,61,60,61,61,58,58,59,59,59,59,54,55,54,54,55,52,52,46,40,30,45,45,45,45,45,49,47,66,66,59,59,60,60,60,59,59,62,59,59,67,58,51,51,66,70,70,70,70,70
TRAV13-2*01,62,62,61,43,64,59,40,40,48,48,48,40,40,20,20,20,0,0,56,56,56,56,46,44,54,62,49,49,47,47,47,47,50,50,42,35,35,35,35,55,55,60,54,54,54,52,52,61,61,61,27,27,57,60,60,59,60,62,58,58,62,62,62,62,58,59,58,58,59,53,43,48,42,26,44,44,44,44,44,48,53,66,66,58,58,60,60,60,58,58,61,58,58,67,58,50,50,66,63,63,63,63,63
TRAV13-2*02,62,62,61,43,64,59,40,40,48,48,48,40,40,20,20,20,0,0,56,56,56,56,46,44,54,62,49,49,47,47,47,47,50,50,42,35,35,35,35,55,55,60,54,54,54,52,52,61,61,61,27,27,57,60,60,59,60,62,58,58,62,62,62,62,58,59,58,58,59,53,43,48,42,26,44,44,44,44,44,48,53,66,66,58,58,60,60,60,58,58,61,58,58,67,58,50,50,66,63,63,63,63,63
TRAV14/DV4*01,53,49,55,36,66,58,49,49,54,54,54,51,51,56,56,56,56,56,0,6,0,6,48,46,50,36,37,37,46,46,46,46,54,54,54,66,66,66,66,66,66,53,50,50,50,49,49,56,56,56,58,58,60,61,61,60,61,57,61,61,62,66,66,66,28,29,28,28,29,61,59,46,56,56,69,69,69,69,69,73,56,60,60,57,57,62,62,62,61,61,64,61,61,66,61,57,57,61,62,66,66,66,66
TRAV14/DV4*02,51,47,53,34,64,60,49,49,54,54,54,51,51,56,56,56,56,56,6,0,6,0,48,44,50,34,37,37,46,46,46,46,56,56,54,66,66,66,66,66,66,53,50,50,50,49,49,56,56,56,58,58,60,61,61,60,61,57,61,61,62,66,66,66,30,31,30,30,31,61,59,46,56,56,67,67,67,67,67,71,56,60,60,57,57,62,62,62,61,61,64,61,61,66,61,57,57,61,62,64,64,64,64
TRAV14/DV4*03,53,49,55,36,66,58,49,49,54,54,54,51,51,56,56,56,56,56,0,6,0,6,48,46,50,36,37,37,46,46,46,46,54,54,54,66,66,66,66,66,66,53,50,50,50,49,49,56,56,56,58,58,60,61,61,60,61,57,61,61,62,66,66,66,28,29,28,28,29,61,59,46,56,56,69,69,69,69,69,73,56,60,60,57,57,62,62,62,61,61,64,61,61,66,61,57,57,61,62,66,66,66,66
TRAV14/DV4*04,51,47,53,34,64,60,49,49,54,54,54,51,51,56,56,56,56,56,6,0,6,0,48,44,50,34,37,37,46,46,46,46,56,56,54,66,66,66,66,66,66,53,50,50,50,49,49,56,56,56,58,58,60,61,61,60,61,57,61,61,62,66,66,66,30,31,30,30,31,61,59,46,56,56,67,67,67,67,67,71,56,60,60,57,57,62,62,62,61,61,64,61,61,66,61,57,57,61,62,64,64,64,64
TRAV16*01,49,49,48,28,58,59,50,50,48,48,52,55,55,48,48,48,46,46,48,48,48,48,0,50,45,54,45,45,44,44,44,44,55,55,52,51,51,51,51,52,52,53,55,55,55,52,52,57,57,57,50,50,27,50,50,50,50,56,60,60,50,54,54,54,51,52,51,51,52,55,56,46,50,46,63,63,63,63,63,63,48,44,44,34,34,44,44,44,38,38,38,38,38,38,34,34,34,30,44,41,41,41,41
TRAV17*01,54,54,46,30,49,46,53,53,54,54,51,48,48,38,38,38,44,44,46,44,46,44,50,0,50,51,36,36,46,46,46,46,36,36,37,48,48,48,48,52,52,47,50,50,50,48,48,58,58,58,47,47,57,58,58,57,58,53,58,58,50,54,54,54,51,51,51,51,51,46,52,41,46,51,37,37,37,37,37,41,43,52,52,53,53,59,59,59,51,51,54,51,51,59,58,50,50,56,61,63,63,63,63
TRAV18*01,50,51,59,41,66,63,59,59,57,57,57,54,54,52,52,52,54,54,50,50,50,50,45,50,0,46,40,40,50,50,50,50,55,55,54,55,55,55,55,57,57,59,57,57,57,58,58,57,57,57,51,51,47,61,61,61,61,59,57,57,56,60,60,60,50,51,50,50,51,66,57,45,56,49,58,58,58,58,58,57,49,55,55,40,40,54,54,54,45,45,45,45,45,56,45,44,44,49,54,56,56,56,56
TRAV19*01,52,52,60,42,68,58,59,59,56,56,56,51,51,62,62,62,62,62,36,34,36,34,54,51,46,0,41,41,58,58,58,58,56,56,59,64,64,64,64,70,70,63,55,55,55,50,50,67,67,67,58,58,58,65,65,65,65,65,68,68,63,67,67,67,42,42,41,42,41,64,60,53,59,63,66,66,66,66,66,65,59,56,56,60,60,49,49,49,57,57,60,57,57,62,53,57,57,61,58,60,60,60,60
TRAV2*01,43,44,48,36,41,39,46,46,52,52,52,48,48,49,49,49,49,49,37,37,37,37,45,36,40,41,0,0,45,45,45,45,38,38,44,53,53,53,53,43,43,45,47,47,47,47,47,50,50,50,46,46,42,45,45,45,45,44,51,51,37,44,41,41,39,39,39,39,39,48,48,52,44,48,49,49,49,49,49,49,42,42,42,42,42,47,47,47,44,44,44,44,44,48,36,45,45,43,48,47,47,47,47
TRAV2*02,43,44,48,36,41,39,46,46,52,52,52,48,48,49,49,49,49,49,37,37,37,37,45,36,40,41,0,0,45,45,45,45,38,38,44,53,53,53,53,43,43,45,47,47,47,47,47,50,50,50,46,46,42,45,45,45,45,44,51,51,37,44,41,41,39,39,39,39,39,48,48,52,44,48,49,49,49,49,49,49,42,42,42,42,42,47,47,47,44,44,44,44,44,48,36,45,45,43,48,47,47,47,47
TRAV20*01,49,49,49,36,51,48,47,47,42,42,46,43,43,46,46,46,47,47,46,46,46,46,44,46,50,58,45,45,0,0,0,0,47,47,44,51,51,51,51,52,52,45,51,51,51,54,54,48,48,48,47,47,51,45,45,44,45,39,38,38,38,41,38,38,53,53,53,53,53,49,51,43,39,45,55,55,55,55,55,59,34,53,53,52,52,59,59,59,52,52,59,52,52,56,51,56,56,52,56,52,52,52,52
TRAV20*02,49,49,49,36,51,48,47,47,42,42,46,43,43,46,46,46,47,47,46,46,46,46,44,46,50,58,45,45,0,0,0,0,47,47,44,51,51,51,51,52,52,45,51,51,51,54,54,48,48,48,47,47,51,45,45,44,45,39,38,38,38,41,38,38,53,53,53,53,53,49,51,43,39,45,55,55,55,55,55,59,34,53,53,52,52,59,59,59,52,52,59,52,52,56,51,56,56,52,56,52,52,52,52
TRAV20*03,49,49,49,36,51,48,47,47,42,42,46,43,43,46,46,46,47,47,46,46,46,46,44,46,50,58,45,45,0,0,0,0,47,47,44,51,51,51,51,52,52,45,51,51,51,54,54,48,48,48,47,47,51,45,45,44,45,39,38,38,38,41,38,38,53,53,53,53,53,49,51,43,39,45,55,55,55,55,55,59,34,53,53,52,52,59,59,59,52,52,59,52,52,56,51,56,56,52,56,52,52,52,52
TRAV20*04,49,49,49,36,51,48,47,47,42,42,46,43,43,46,46,46,47,47,46,46,46,46,44,46,50,58,45,45,0,0,0,0,47,47,44,51,51,51,51,52,52,45,51,51,51,54,54,48,48,48,47,47,51,45,45,44,45,39,38,38,38,41,38,38,53,53,53,53,53,49,51,43,39,45,55,55,55,55,55,59,34,53,53,52,52,59,59,59,52,52,59,52,52,56,51,56,56,52,56,52,52,52,52
TRAV21*01,58,58,58,44,55,35,47,47,47,47,47,43,43,43,43,43,50,50,54,56,54,56,55,36,55,56,38,38,47,47,47,47,0,0,43,50,50,50,50,57,57,59,66,66,66,65,65,66,66,66,51,51,62,59,59,59,59,51,68,68,52,52,52,52,54,54,54,54,54,58,62,51,56,53,54,54,54,54,54,54,46,60,60,58,58,62,62,62,59,59,63,59,59,63,59,59,59,58,67,67,67,67,67
TRAV21*02,58,58,58,44,55,35,47,47,47,47,47,43,43,43,43,43,50,50,54,56,54,56,55,36,55,56,38,38,47,47,47,47,0,0,43,50,50,50,50,57,57,59,66,66,66,65,65,66,66,66,51,51,62,59,59,59,59,51,68,68,52,52,52,52,54,54,54,54,54,58,62,51,56,53,54,54,54,54,54,54,46,60,60,58,58,62,62,62,59,59,63,59,59,63,59,59,59,58,67,67,67,67,67
TRAV22*01,49,49,46,28,44,45,42,42,42,42,38,44,44,32,32,32,42,42,54,54,54,54,52,37,54,59,44,44,44,44,44,44,43,43,0,54,54,54,54,51,51,52,62,62,62,60,60,56,56,56,44,44,56,57,57,54,57,58,52,52,52,49,49,49,57,57,57,57,57,52,56,49,42,42,53,53,53,53,53,55,38,51,51,50,50,57,57,57,47,47,50,47,47,55,54,49,49,53,62,62,62,62,62
TRAV23/DV6*01,60,60,59,42,60,63,51,51,54,54,54,41,41,31,31,31,35,35,66,66,66,66,51,48,55,64,53,53,51,51,51,51,50,50,54,0,0,0,0,60,60,60,55,55,55,50,50,63,63,63,34,34,59,58,58,57,58,54,63,63,57,57,57,57,58,58,58,58,58,52,46,40,53,51,44,44,44,44,44,48,53,68,68,66,66,62,62,62,62,62,62,62,62,68,56,58,58,65,64,64,64,64,64
TRAV23/DV6*02,60,60,59,42,60,63,51,51,54,54,54,41,41,31,31,31,35,35,66,66,66,66,51,48,55,64,53,53,51,51,51,51,50,50,54,0,0,0,0,60,60,60,55,55,55,50,50,63,63,63,34,34,59,58,58,57,58,54,63,63,57,57,57,57,58,58,58,58,58,52,46,40,53,51,44,44,44,44,44,48,53,68,68,66,66,62,62,62,62,62,62,62,62,68,56,58,58,65,64,64,64,64,64
TRAV23/DV6*03,60,60,59,42,60,63,51,51,54,54,54,41,41,31,31,31,35,35,66,66,66,66,51,48,55,64,53,53,51,51,51,51,50,50,54,0,0,0,0,60,60,60,55,55,55,50,50,63,63,63,34,34,59,58,58,57,58,54,63,63,57,57,57,57,58,58,58,58,58,52,46,40,53,51,44,44,44,44,44,48,53,68,68,66,66,62,62,62,62,62,62,62,62,68,56,58,58,65,64,64,64,64,64
TRAV23/DV6*04,60,60,59,42,60,63,51,51,54,54,54,41,41,31,31,31,35,35,66,66,66,66,51,48,55,64,53,53,51,51,51,51,50,50,54,0,0,0,0,60,60,60,55,55,55,50,50,63,63,63,34,34,59,58,58,57,58,54,63,63,57,57,57,57,58,58,58,58,58,52,46,40,53,51,44,44,44,44,44,48,53,68,68,66,66,62,62,62,62,62,62,62,62,68,56,58,58,65,64,64,64,64,64
TRAV24*01,48,48,49,35,57,61,57,57,60,60,60,58,58,57,57,57,55,55,66,66,66,66,52,52,57,70,43,43,52,52,52,52,57,57,51,60,60,60,60,0,0,60,65,65,65,66,66,60,60,60,54,54,66,47,47,47,47,49,60,60,42,39,39,39,67,67,67,67,67,50,66,40,45,50,60,60,60,60,60,60,48,75,75,59,59,74,74,74,60,60,60,60,60,68,60,62,62,67,64,60,60,60,60
TRAV24*02,48,48,49,35,57,61,57,57,60,60,60,58,58,57,57,57,55,55,66,66,66,66,52,52,57,70,43,43,52,52,52,52,57,57,51,60,60,60,60,0,0,60,65,65,65,66,66,60,60,60,54,54,66,47,47,47,47,49,60,60,42,39,39,39,67,67,67,67,67,50,66,40,45,50,60,60,60,60,60,60,48,75,75,59,59,74,74,74,60,60,60,60,60,68,60,62,62,67,64,60,60,60,60
TRAV25*01,61,61,52,33,53,52,60,60,59,59,58,61,61,61,61,61,60,60,53,53,53,53,53,47,59,63,45,45,45,45,45,45,59,59,52,60,60,60,60,60,60,0,44,44,44,48,48,32,32,32,58,58,60,41,41,40,41,39,41,41,52,53,53,53,55,55,55,55,55,48,53,37,48,58,62,62,62,62,62,66,50,57,57,60,60,65,65,65,60,60,61,60,60,63,60,60,60,59,53,58,58,58,58
TRAV26-1*01,63,63,60,39,56,62,59,59,62,62,62,52,52,57,57,57,54,54,50,50,50,50,55,50,57,55,47,47,51,51,51,51,66,66,62,55,55,55,55,65,65,44,0,0,0,17,17,49,49,49,56,56,52,49,49,48,49,53,47,47,62,66,66,66,47,50,47,47,50,48,33,48,60,53,55,55,55,55,55,59,59,61,61,61,61,58,58,58,58,58,58,58,58,63,51,52,52,59,50,56,56,56,56
TRAV26-1*02,63,63,60,39,56,62,59,59,62,62,62,52,52,57,57,57,54,54,50,50,50,50,55,50,57,55,47,47,51,51,51,51,66,66,62,55,55,55,55,65,65,44,0,0,0,17,17,49,49,49,56,56,52,49,49,48,49,53,47,47,62,66,66,66,47,50,47,47,50,48,33,48,60,53,55,55,55,55,55,59,59,61,61,61,61,58,58,58,58,58,58,58,58,63,51,52,52,59,50,56,56,56,56
TRAV26-1*03,63,63,60,39,56,62,59,59,62,62,62,52,52,57,57,57,54,54,50,50,50,50,55,50,57,55,47,47,51,51,51,51,66,66,62,55,55,55,55,65,65,44,0,0,0,17,17,49,49,49,56,56,52,49,49,48,49,53,47,47,62,66,66,66,47,50,47,47,50,48,33,48,60,53,55,55,55,55,55,59,59,61,61,61,61,58,58,58,58,58,58,58,58,63,51,52,52,59,50,56,56,56,56
TRAV26-2*01,63,63,59,38,59,61,60,60,63,63,63,53,53,55,55,55,52,52,49,49,49,49,52,48,58,50,47,47,54,54,54,54,65,65,60,50,50,50,50,66,66,48,17,17,17,0,0,45,45,45,54,54,52,53,53,52,53,57,50,50,61,65,65,65,51,51,51,51,51,44,38,48,59,53,56,56,56,56,56,60,57,56,56,60,60,53,53,53,57,57,54,57,57,62,47,51,51,55,55,61,61,61,61
TRAV26-2*02,63,63,59,38,59,61,60,60,63,63,63,53,53,55,55,55,52,52,49,49,49,49,52,48,58,50,47,47,54,54,54,54,65,65,60,50,50,50,50,66,66,48,17,17,17,0,0,45,45,45,54,54,52,53,53,52,53,57,50,50,61,65,65,65,51,51,51,51,51,44,38,48,59,53,56,56,56,56,56,60,57,56,56,60,60,53,53,53,57,57,54,57,57,62,47,51,51,55,55,61,61,61,61
TRAV27*01,65,65,58,37,62,60,53,53,55,55,55,61,61,63,63,63,61,61,56,56,56,56,57,58,57,67,50,50,48,48,48,48,66,66,56,63,63,63,63,60,60,32,49,49,49,45,45,0,0,0,60,60,55,49,49,48,49,54,33,33,62,62,62,62,61,61,61,61,61,58,52,38,53,60,62,62,62,62,62,66,56,59,59,55,55,61,61,61,62,62,55,62,62,66,55,56,56,56,64,65,65,65,65
TRAV27*02,65,65,58,37,62,60,53,53,55,55,55,61,61,63,63,63,61,61,56,56,56,56,57,58,57,67,50,50,48,48,48,48,66,66,56,63,63,63,63,60,60,32,49,49,49,45,45,0,0,0,60,60,55,49,49,48,49,54,33,33,62,62,62,62,61,61,61,61,61,58,52,38,53,60,62,62,62,62,62,66,56,59,59,55,55,61,61,61,62,62,55,62,62,66,55,56,56,56,64,65,65,65,65
